Time,Infected Homosexual Males,Infected Bisexual Males,Infected Heterosexual Females,Infected Heterosexual Males
0.191,4.995904157283767,4.998073046779241,99.95060743383824,99.94703616307346
0.192,4.99596134306761,4.998073508697389,99.95079341183416,99.94733257906425
0.193,4.996014242270316,4.9980739114862605,99.95095987765798,99.94759936307018
0.194,4.9960631761501615,4.998074262752014,99.95110887843751,99.94783947718612
0.195,4.996108441897204,4.99807456911934,99.95124224653614,99.94805558743138
0.196,4.996150314435209,4.998074836358355,99.95136162208107,99.9482500933397
0.197,4.99618904808885,4.998075069495069,99.9514684731289,99.94842515459275
0.198,4.996224878126222,4.998075272907557,99.95156411371644,99.94858271499255
0.199,4.996258022185989,4.9980754504096785,99.95164972001822,99.9487245240382
0.2,4.996288681597751,4.99807560532397,99.9517263448093,99.94885215634665
0.201,4.996317042603627,4.998075740545103,99.95179493041108,99.94896702913258
0.202,4.996343277488414,4.99807585859513,99.9518563202792,99.94907041794146
0.203,4.996367545625164,4.998075961671591,99.95191126937577,99.94916347081019
0.20400000000000001,4.996389994442489,4.998076051689391,99.95196045345362,99.94924722101251
0.20500000000000002,4.996410760319454,4.998076130317265,99.9520044773666,99.94932259853056
0.20600000000000002,4.996429969413462,4.998076199009533,99.95204388250801,99.94939044037987
0.20700000000000002,4.9964477384261565,4.998076259033745,99.9520791534687,99.94945149990238
0.20800000000000002,4.996464175311953,4.998076311494756,99.9521107239967,99.94950645513059
0.209,4.996479379933521,4.99807635735569,99.9521389823315,99.94955591631569
0.21,4.996493444668162,4.998076397456193,99.95216427597886,99.94960043270324
0.211,4.9965064549687686,4.998076432528334,99.95218691598446,99.94964049863148
0.212,4.996518489882764,4.9980764632104515,99.95220718075936,99.94967655902023
0.213,4.996529622532161,4.9980764900592085,99.95222531950401,99.94970901431095
0.214,4.99653992055766,4.998076513560097,99.95224155527302,99.9497382249131
0.215,4.996549446529468,4.998076534136586,99.95225608771837,99.94976451520601
0.216,4.996558258327346,4.998076552158087,99.95226909554486,99.94978817714068
0.217,4.9965664094921625,4.998076567946898,99.9522807387079,99.94980947348158
0.218,4.996573949551123,4.998076581784246,99.95229116038064,99.9498286407244
0.219,4.996580924318613,4.998076593915556,99.95230048871485,99.94984589172205
0.22,4.996587376174501,4.998076604555042,99.95230883841694,99.94986141804822
0.221,4.996593344321591,4.998076613889699,99.95231631215862,99.94987539212465
0.222,4.996598865023766,4.998076622082795,99.95232300183959,99.94988796913577
0.223,4.9966039718263,4.998076629276899,99.95232898971777,99.94989928875185
0.224,4.996608695759642,4.998076635596532,99.95233434942088,99.94990947667999
0.225,4.996613065527941,4.998076641150467,99.95233914685191,99.94991864606004
0.226,4.996617107683431,4.998076646033743,99.95234344099961,99.94992689872092
0.227,4.996620846787743,4.998076650329415,99.95234728466393,99.9499343263114
0.228,4.996624305561138,4.99807665411008,99.9523507251053,99.94994101131786
0.229,4.996627505020542,4.998076657439207,99.95235380462589,99.94994702798019
0.23,4.99663046460724,4.9980766603723,99.95235656108974,99.94995244311626
0.231,4.996633202304998,4.998076662957907,99.95235902838847,99.94995731686392
